Afghanistan,AFG,34656032,2
Angola,AGO,28813463,2
Albanie,ALB,2876101,5
Émirats arabes unis,ARE,9269612,7
Argentine,ARG,43847430,6
Arménie,ARM,2924816,5
Australie,AUS,24127159,10
Autriche,AUT,8747358,8
Azerbaïdjan,AZE,9762274,5
Burundi,BDI,10524117,1
Belgique,BEL,11348159,8
Bénin,BEN,10872298,2
Burkina Faso,BFA,18646433,1
Bangladesh,BGD,162951560,3,
Bulgarie,BGR,7127822,5
Bosnie-Herzégovine,BIH,3516816,5
Bélarus,BLR,9507120,5
Bolivie,BOL,10887882,4
Brésil,BRA,207652865,5
Botswana,BWA,2250260,4
République centrafricaine,CAF,4594621,0
Canada,CAN,36286425,8
Suisse,CHE,8372098,9
Chili,CHL,17909754,7
Chine,CHN,1378665000,5
Côte d'Ivoire,CIV,23695919,1
Cameroun,CMR,23439189,2
République démocratique du Congo,COD,78736153,0
République du Congo,COG,5125821,0
Colombie,COL,48653419,5
Costa Rica,CRI,4857274,5
Cuba,CUB,11475982,6
Chypre,CYP,1170125,7
République tchèque,CZE,10561633,7
Allemagne,DEU,82667685,9
Danemark,DNK,5731118,8
République dominicaine,DOM,10648791,4
Algérie,DZA,40606052,5
Équateur,ECU,16385068,5
Egypte,EGY,95688681,4
Espagne,ESP,46443959,8
Estonie,EST,1316481,7
Éthiopie,ETH,102403196,2
Finlande,FIN,5495096,8
France,FRA,66896109,8
Gabon,GAB,1979786,4
Royaume-Uni,GBR,65637239,8
Géorgie,GEO,3719300,5
Ghana,GHA,28206728,3
Guinée,GIN,12395924,1
Gambie,GMB,2038501,1
Guinée-Bissau,GNB,1815698,1
Guinée équatoriale,GNQ,1221490,3
Grèce,GRC,10746740,7
Guatemala,GTM,16582469,4
Hong Kong,HKG,7346700,8
Honduras,HND,9112867,4
Croatie,HRV,4170600,7
Haïti,HTI,10847334,2
Hongrie,HUN,9817958,7
Indonésie,IDN,261115456,4
Inde,IND,1324171354,3
Irlande,IRL,4773095,8
Iran,IRN,80277428,5
Iraq,IRQ,37202572,3
Islande,ISL,334252,8
Israël,ISR,8547100,8
Italie,ITA,60600590,8
Jamaïque,JAM,2881355,5
Jordanie,JOR,9455802,5
Japon,JPN,126994511,8
Kazakhstan,KAZ,17797032,5
Kenya,KEN,48461567,3
République kirghize,KGZ,6082700,4
Cambodge,KHM,15762370,3
République de Corée,KOR,51245707,8
Koweït,KWT,4052584,6
Laos,LAO,6758353,3
Liban,LBN,6006668,5
Libéria,LBR,4613823,1
Libye,LBY,6293253,5
Sri Lanka,LKA,21203000,5
Lesotho,LSO,2203821,2
Lituanie,LTU,2872298,7
Lettonie,LVA,1960424,7
Maroc,MAR,35276786,3
Moldova,MDA,3552000,4
Madagascar,MDG,24894551,2
Mexique,MEX,127540423,5
Macédoine,MKD,2081206,5
Mali,MLI,17994837,1
Myanmar,MMR,52885223,3
Mongolie,MNG,3027398,4
Mozambique,MOZ,28829476,1
Mauritanie,MRT,4301018,2
Malawi,MWI,18091575,1
Malaisie,MYS,31187265,5
Namibie,NAM,2479713,3
Niger,NER,20672987,0
Nigéria,NGA,185989640,2
Nicaragua,NIC,6149928,3
Pays-Bas,NLD,17018408,9
Norvège,NOR,5232929,10
Népal,NPL,28982771,3
Nouvelle-Zélande,NZL,4692700,9
Oman,OMN,4424762,5
Pakistan,PAK,193203476,3
Panama,PAN,4034119,5
Pérou,PER,31773839,5
Philippines,PHL,103320222,4
Papouasie-Nouvelle-Guinée,PNG,8084991,2
Pologne,POL,37948016,7
République démocratique de Corée,PRK,25368620,4
Portugal,PRT,10324611,6
Paraguay,PRY,6725308,4
Roumanie,ROU,19705301,5
Russie,RUS,144342396,5
Rwanda,RWA,11917508,2
Arabie saoudite,SAU,32275687,7
Soudan,SDN,39578828,2
Sénégal,SEN,15411614,2
Singapour,SGP,5607283,8
Sierra Leone,SLE,7396190,1
El Salvador,SLV,6344722,4
Somalie,SOM,14317996,0
Serbie,SRB,7057412,5
Soudan du Sud,SSD,12230730,1
République slovaque,SVK,5428704,7
Slovénie,SVN,2064845,8
Suède,SWE,9903122,8
Syrie,SYR,18430453,4
Tchad,TCD,14452543,1
Togo,TGO,7606374,2
Thaïlande,THA,68863514,5
Tadjikistan,TJK,8734951,3
Turkménistan,TKM,5662544,4
Tunisie,TUN,11403248,5
Turquie,TUR,79512426,5
Tanzanie,TZA,55572201,2
Ouganda,UGA,41487965,2
Ukraine,UKR,45004645,5
Uruguay,URY,3444006,5
États-Unis,USA,323127513,8
Ouzbékistan,UZB,31848200,4
Venezuela,VEN,31568179,6
Viet Nam,VNM,92701100,4
Kosovo,XKX,1816200,4
Yemen,YEM,27584213,2
Afrique du Sud,ZAF,55908865,4
Zambie,ZMB,16591390,3
Zimbabwe,ZWE,16150362,2
